State,Area
AK,134264.00 
AL,1717854.00 
AR,295254.00 
AZ,135765.00 
CA,423970.00 
CO,269601.00 
CT,14357.00 
DC,177.00 
DE,6447.00 
FL,181035.00 
GA,169639.00 
HI,28311.00 
IA,216443.00 
ID,149998.00 
IL,91646.00 
IN,145743.00 
KS,213100.00 
KY,104659.00 
LA,125434.00 
MA,94321.00 
MD,32133.00 
ME,27336.00 
MI,250487.00 
MN,225163.00 
MO,119283.00 
MS,170304.00 
MT,380838.00 
NC,200345.00 
ND,286351.00 
NE,24216.00 
NH,22588.00 
NJ,314915.00 
NM,141299.00 
NV,139389.00 
NY,183112.00 
OH,110785.00 
OK,180533.00 
OR,254805.00 
PA,116096.00 
RI,4002.00 
SC,82932.00 
SD,199731.00 
TN,109151.00 
TX,696621.00 
US,9857348.00 
UT,219882.00 
VA,24901.00 
VT,137732.00 
WA,184665.00 
WI,62755.00 
WV,153909.00 
WY,253348.00 
